aar,fornavn,n,koen
1985,aage,1,dreng
1985,aaron,2,dreng
1985,abdelbadia,1,dreng
1985,abdelhak,1,dreng
1985,abdelouali,1,dreng
1985,abderrahim,1,dreng
1985,abdul,1,dreng
1985,abdul-karim,1,dreng
1985,abdullah,1,dreng
1985,abid,1,dreng
1985,abir,1,dreng
1985,adam,45,dreng
1985,adonis,1,dreng
1985,adrian,2,dreng
1985,agner,1,dreng
1985,ahmad,3,dreng
1985,ahmed,2,dreng
1985,akim,1,dreng
1985,akram,1,dreng
1985,aksel,6,dreng
1985,alain,1,dreng
1985,alan,7,dreng
1985,albert,3,dreng
1985,alec,2,dreng
1985,aleksandar,1,dreng
1985,aleksander,3,dreng
1985,alex,51,dreng
1985,alexander,65,dreng
1985,alexandre,1,dreng
1985,alexandro,1,dreng
1985,alf,1,dreng
1985,alfred,5,dreng
1985,ali,12,dreng
1985,allan,194,dreng
1985,alvaro,1,dreng
1985,alvin,1,dreng
1985,amal,1,dreng
1985,ami,1,dreng
1985,amier,1,dreng
1985,amiin,1,dreng
1985,amin,2,dreng
1985,amitai,1,dreng
1985,anda,1,dreng
1985,anders,787,dreng
1985,anders-emil,1,dreng
1985,anders-peter,1,dreng
1985,andi,3,dreng
1985,andre,16,dreng
1985,andré,11,dreng
1985,andrea,1,dreng
1985,andreas,322,dreng
1985,andre's,1,dreng
1985,andres,3,dreng
1985,andrew,1,dreng
1985,andy,6,dreng
1985,angelo,1,dreng
1985,angunguaq,1,dreng
1985,anker,3,dreng
1985,anthon,1,dreng
1985,anton,17,dreng
1985,antti,1,dreng
1985,anwarul,1,dreng
1985,aqqalu,1,dreng
1985,aram,1,dreng
1985,arild,1,dreng
1985,arman,1,dreng
1985,armann,1,dreng
1985,arnbjøen,1,dreng
1985,arne,2,dreng
1985,arni,1,dreng
1985,arnon,1,dreng
1985,aron,4,dreng
1985,arqalo,1,dreng
1985,arthur,1,dreng
1985,arvid,1,dreng
1985,asbjørn,25,dreng
1985,asge,1,dreng
1985,asger,36,dreng
1985,asif,2,dreng
1985,asjad,1,dreng
1985,ask,10,dreng
1985,aske,21,dreng
1985,asker,5,dreng
1985,aslak,1,dreng
1985,asmund,2,dreng
1985,asmus,5,dreng
1985,asser,2,dreng
1985,atif,1,dreng
1985,atrin,1,dreng
1985,august,2,dreng
1985,axel,3,dreng
1985,ayaz,1,dreng
1985,ayman,1,dreng
1985,babak,1,dreng
1985,bachir,1,dreng
1985,balal,2,dreng
1985,bardur,1,dreng
1985,barkat,1,dreng
1985,bashir,1,dreng
1985,basil,1,dreng
1985,bassam,1,dreng
1985,bassem,1,dreng
1985,bastian,10,dreng
1985,bayramali,1,dreng
1985,behnam,2,dreng
1985,behruz,2,dreng
1985,belal,1,dreng
1985,ben,2,dreng
1985,bendt,2,dreng
1985,benjamin,109,dreng
1985,benn,1,dreng
1985,benni,3,dreng
1985,benno,1,dreng
1985,benny,21,dreng
1985,bent,7,dreng
1985,benvi,1,dreng
1985,benyamin,1,dreng
1985,bernd,2,dreng
1985,bernhard,2,dreng
1985,bernly,1,dreng
1985,bertil,2,dreng
1985,bertram,2,dreng
1985,beytullaah,1,dreng
1985,bilal,2,dreng
1985,bill,5,dreng
1985,billy,1,dreng
1985,birger,3,dreng
1985,birk,7,dreng
1985,birni,1,dreng
1985,bivar,1,dreng
1985,bjarke,105,dreng
1985,bjarne,38,dreng
1985,bjerke,1,dreng
1985,bjerne,1,dreng
1985,bjørk,3,dreng
1985,bjørn,99,dreng
1985,bo,98,dreng
1985,bob,5,dreng
1985,bobak,1,dreng
1985,bobby,2,dreng
1985,boe,1,dreng
1985,bogi,2,dreng
1985,bohart,1,dreng
1985,bojan,1,dreng
1985,boje,2,dreng
1985,bora,1,dreng
1985,boris,1,dreng
1985,boye,1,dreng
1985,brian,325,dreng
1985,briani,1,dreng
1985,bruno,4,dreng
1985,bryne,1,dreng
1985,bryno,1,dreng
1985,bue,5,dreng
1985,bugvi,1,dreng
1985,burt,1,dreng
1985,buster,6,dreng
1985,carl,6,dreng
1985,carl-johan,1,dreng
1985,carsten,110,dreng
1985,carthage-cesare',1,dreng
1985,caspar,12,dreng
1985,casper,349,dreng
1985,cato,2,dreng
1985,cenneth,1,dreng
1985,chadri,1,dreng
1985,chano,5,dreng
1985,charles,1,dreng
1985,charley,1,dreng
1985,charlie,13,dreng
1985,chresten,2,dreng
1985,chris,49,dreng
1985,christan,1,dreng
1985,christen,3,dreng
1985,christer,3,dreng
1985,christian,735,dreng
1985,christiern,1,dreng
1985,christoffer,77,dreng
1985,christoph,2,dreng
1985,christopher,28,dreng
1985,christos,1,dreng
1985,chritoffer,1,dreng
1985,claes,11,dreng
1985,clark,1,dreng
1985,claus,170,dreng
1985,claus-henning,1,dreng
1985,claus-peter,1,dreng
1985,clemen,1,dreng
1985,cliff,3,dreng
1985,corfitz,1,dreng
1985,cuong,1,dreng
1985,dag,1,dreng
1985,dan,125,dreng
1985,dani,1,dreng
1985,daniel,543,dreng
1985,daniell,1,dreng
1985,danilo,1,dreng
1985,dann,2,dreng
1985,danni,94,dreng
1985,dannie,10,dreng
1985,danny,104,dreng
1985,dany,1,dreng
1985,danyal,1,dreng
1985,daud,1,dreng
1985,david,154,dreng
1985,dean,5,dreng
1985,dejan,1,dreng
1985,denis,11,dreng
1985,deniz,5,dreng
1985,denni,1,dreng
1985,dennis,481,dreng
1985,denniz,1,dreng
1985,denny,3,dreng
1985,dharsan,1,dreng
1985,diego,1,dreng
1985,dilprit,1,dreng
1985,dimitri,1,dreng
1985,dimitris,1,dreng
1985,dinatreh,1,dreng
1985,dinny,1,dreng
1985,dion,7,dreng
1985,dirch,1,dreng
1985,ditlev,3,dreng
1985,don,1,dreng
1985,drees,1,dreng
1985,dres,1,dreng
1985,duc,1,dreng
1985,ebbe,6,dreng
1985,eddie,2,dreng
1985,edi,1,dreng
1985,edis,1,dreng
1985,edmondo,1,dreng
1985,edward,1,dreng
1985,ege,1,dreng
1985,egin,1,dreng
1985,eigil,2,dreng
1985,eik,1,dreng
1985,eilif,2,dreng
1985,einar,3,dreng
1985,eino,2,dreng
1985,eitan,1,dreng
1985,ejgil,1,dreng
1985,ejnar,3,dreng
1985,ejvin,1,dreng
1985,ekrem,1,dreng
1985,eleftherios,1,dreng
1985,eli,1,dreng
1985,elias,4,dreng
1985,elo,1,dreng
1985,emad,1,dreng
1985,emiel,1,dreng
1985,emil,184,dreng
1985,emrullah,1,dreng
1985,engin,2,dreng
1985,enno,1,dreng
1985,eno,1,dreng
1985,eral,1,dreng
1985,eran,1,dreng
1985,erasmus,1,dreng
1985,ercan,1,dreng
1985,erdal,1,dreng
1985,erge,1,dreng
1985,eric,1,dreng
1985,erik,52,dreng
1985,erkan,1,dreng
1985,ernst,2,dreng
1985,esben,86,dreng
1985,esbern,2,dreng
1985,esbjørn,1,dreng
1985,eske,1,dreng
1985,eskil,2,dreng
1985,eskild,1,dreng
1985,esper,1,dreng
1985,evald,1,dreng
1985,even,1,dreng
1985,eyvind,1,dreng
1985,faisal,2,dreng
1985,falke,1,dreng
1985,faraz,1,dreng
1985,farhan,1,dreng
1985,fatih,3,dreng
1985,felix,3,dreng
1985,fikret,1,dreng
1985,filip,13,dreng
1985,filipe,1,dreng
1985,fillip,2,dreng
1985,fin,1,dreng
1985,finn,5,dreng
1985,flemming,46,dreng
1985,folke,1,dreng
